pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag
E3|O60260|P02786,E3|O60260,E3,O60260,P02786,PARK2,TFRC,RING,0,neg2x_initial_degree_matched,,PARK2,TFRC,PARK2|TFRC,True
E3|O60260|P23919,E3|O60260,E3,O60260,P23919,PARK2,DTYMK,RING,0,neg2x_initial_degree_matched,,PARK2,DTYMK,DTYMK|PARK2,True
E3|O60260|O75909,E3|O60260,E3,O60260,O75909,PARK2,CCNK,RING,0,neg2x_initial_degree_matched,,PARK2,CCNK,CCNK|PARK2,True
E3|O60260|Q08380,E3|O60260,E3,O60260,Q08380,PARK2,LGALS3BP,RING,0,neg2x_initial_degree_matched,,PARK2,LGALS3BP,LGALS3BP|PARK2,True
E3|O60260|Q14558,E3|O60260,E3,O60260,Q14558,PARK2,PRPSAP1,RING,0,neg2x_initial_degree_matched,,PARK2,PRPSAP1,PARK2|PRPSAP1,True
E3|O60260|Q9UHD2,E3|O60260,E3,O60260,Q9UHD2,PARK2,TBK1,RING,0,neg2x_initial_degree_matched,,PARK2,TBK1,PARK2|TBK1,True
E3|O60260|Q7KZI7,E3|O60260,E3,O60260,Q7KZI7,PARK2,MARK2,RING,0,neg2x_initial_degree_matched,,PARK2,MARK2,MARK2|PARK2,True
E3|O60260|P24928,E3|O60260,E3,O60260,P24928,PARK2,POLR2A,RING,0,neg2x_initial_degree_matched,,PARK2,POLR2A,PARK2|POLR2A,True
E3|O60260|P04183,E3|O60260,E3,O60260,P04183,PARK2,TK1,RING,0,neg2x_initial_degree_matched,,PARK2,TK1,PARK2|TK1,True
E3|O60260|O75928,E3|O60260,E3,O60260,O75928,PARK2,PIAS2,RING,0,neg2x_initial_degree_matched,,PARK2,PIAS2,PARK2|PIAS2,True
E3|O60260|O60934,E3|O60260,E3,O60260,O60934,PARK2,NBN,RING,0,neg2x_initial_degree_matched,,PARK2,NBN,NBN|PARK2,True
E3|O60260|P12277,E3|O60260,E3,O60260,P12277,PARK2,CKB,RING,0,neg2x_initial_degree_matched,,PARK2,CKB,CKB|PARK2,True
E3|O60260|O60313,E3|O60260,E3,O60260,O60313,PARK2,OPA1,RING,0,neg2x_initial_degree_matched,,PARK2,OPA1,OPA1|PARK2,True
E3|O60260|Q9Y4R8,E3|O60260,E3,O60260,Q9Y4R8,PARK2,TELO2,RING,0,neg2x_initial_degree_matched,,PARK2,TELO2,PARK2|TELO2,True
E3|O60260|Q8TEY7,E3|O60260,E3,O60260,Q8TEY7,PARK2,USP33,RING,0,neg2x_initial_degree_matched,,PARK2,USP33,PARK2|USP33,True
E3|O60260|Q5VTR2,E3|O60260,E3,O60260,Q5VTR2,PARK2,RNF20,RING,0,neg2x_initial_degree_matched,,PARK2,RNF20,PARK2|RNF20,True
E3|O60260|Q86U70,E3|O60260,E3,O60260,Q86U70,PARK2,LDB1,RING,0,neg2x_initial_degree_matched,,PARK2,LDB1,LDB1|PARK2,True
E3|O60260|Q13085,E3|O60260,E3,O60260,Q13085,PARK2,ACACA,RING,0,neg2x_initial_degree_matched,,PARK2,ACACA,ACACA|PARK2,True
E3|O60260|P35250,E3|O60260,E3,O60260,P35250,PARK2,RFC2,RING,0,neg2x_initial_degree_matched,,PARK2,RFC2,PARK2|RFC2,True
E3|O60260|P00966,E3|O60260,E3,O60260,P00966,PARK2,ASS1,RING,0,neg2x_initial_degree_matched,,PARK2,ASS1,ASS1|PARK2,True
E3|O60260|Q9NRC1,E3|O60260,E3,O60260,Q9NRC1,PARK2,ST7,RING,0,neg2x_initial_degree_matched,,PARK2,ST7,PARK2|ST7,True
E3|O60260|P34932,E3|O60260,E3,O60260,P34932,PARK2,HSPA4,RING,0,neg2x_initial_degree_matched,,PARK2,HSPA4,HSPA4|PARK2,True
E3|O75150|O60260,E3|O75150,E3,O75150,O60260,RNF40,PARK2,RING,0,neg2x_initial_degree_matched,,RNF40,PARK2,PARK2|RNF40,True
E3|O76064|Q99848,E3|O76064,E3,O76064,Q99848,RNF8,EBNA1BP2,RING,0,neg2x_initial_degree_matched,,RNF8,EBNA1BP2,EBNA1BP2|RNF8,True
E3|O76064|Q13123,E3|O76064,E3,O76064,Q13123,RNF8,IK,RING,0,neg2x_initial_degree_matched,,RNF8,IK,IK|RNF8,True
E3|O76064|P21796,E3|O76064,E3,O76064,P21796,RNF8,VDAC1,RING,0,neg2x_initial_degree_matched,,RNF8,VDAC1,RNF8|VDAC1,True
E3|O76064|P06493,E3|O76064,E3,O76064,P06493,RNF8,CDK1,RING,0,neg2x_initial_degree_matched,,RNF8,CDK1,CDK1|RNF8,True
E3|O94972|P98170,E3|O94972,E3,O94972,P98170,TRIM37,XIAP,RING,0,neg2x_initial_degree_matched,,TRIM37,XIAP,TRIM37|XIAP,True
E3|O95071|O95786,E3|O95071,E3,O95071,O95786,UBR5,DDX58,HECT,0,neg2x_initial_degree_matched,,UBR5,DDX58,DDX58|UBR5,True
E3|O95630|O75385,E3|O95630,E3,O95630,O75385,STAMBP,ULK1,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,STAMBP,ULK1,STAMBP|ULK1,True
E3|P00748|O95817,E3|P00748,E3,P00748,O95817,F12,BAG3,Other,0,neg2x_initial_degree_matched,,F12,BAG3,BAG3|F12,True
E3|P09874|P00367,E3|P09874,E3,P09874,P00367,PARP1,GLUD1,Other,0,neg2x_initial_degree_matched,,PARP1,GLUD1,GLUD1|PARP1,True
E3|P14373|Q9NQB0,E3|P14373,E3,P14373,Q9NQB0,TRIM27,TCF7L2,RING,0,neg2x_initial_degree_matched,,TRIM27,TCF7L2,TCF7L2|TRIM27,True
E3|P19474|P83916,E3|P19474,E3,P19474,P83916,TRIM21,CBX1,RING,0,neg2x_initial_degree_matched,,TRIM21,CBX1,CBX1|TRIM21,True
E3|P19474|Q9Y4A5,E3|P19474,E3,P19474,Q9Y4A5,TRIM21,TRRAP,RING,0,neg2x_initial_degree_matched,,TRIM21,TRRAP,TRIM21|TRRAP,True
E3|P19474|P51668,E3|P19474,E3,P19474,P51668,TRIM21,UBE2D1,RING,0,neg2x_initial_degree_matched,,TRIM21,UBE2D1,TRIM21|UBE2D1,True
E3|P19474|Q9NQC7,E3|P19474,E3,P19474,Q9NQC7,TRIM21,CYLD,RING,0,neg2x_initial_degree_matched,,TRIM21,CYLD,CYLD|TRIM21,True
E3|P19474|Q9Y297,E3|P19474,E3,P19474,Q9Y297,TRIM21,BTRC,RING,0,neg2x_initial_degree_matched,,TRIM21,BTRC,BTRC|TRIM21,True
E3|P19474|P16070,E3|P19474,E3,P19474,P16070,TRIM21,CD44,RING,0,neg2x_initial_degree_matched,,TRIM21,CD44,CD44|TRIM21,True
E3|P19474|P04229,E3|P19474,E3,P19474,P04229,TRIM21,HLA-DRB1,RING,0,neg2x_initial_degree_matched,,TRIM21,HLA-DRB1,HLA-DRB1|TRIM21,True
E3|P22681|Q13492,E3|P22681,E3,P22681,Q13492,CBL,PICALM,RING,0,neg2x_initial_degree_matched,,CBL,PICALM,CBL|PICALM,True
E3|P22681|P60484,E3|P22681,E3,P22681,P60484,CBL,PTEN,RING,0,neg2x_initial_degree_matched,,CBL,PTEN,CBL|PTEN,True
E3|P22681|Q99933,E3|P22681,E3,P22681,Q99933,CBL,BAG1,RING,0,neg2x_initial_degree_matched,,CBL,BAG1,BAG1|CBL,True
E3|P22681|Q14653,E3|P22681,E3,P22681,Q14653,CBL,IRF3,RING,0,neg2x_initial_degree_matched,,CBL,IRF3,CBL|IRF3,True
E3|P22681|P09211,E3|P22681,E3,P22681,P09211,CBL,GSTP1,RING,0,neg2x_initial_degree_matched,,CBL,GSTP1,CBL|GSTP1,True
E3|P22681|Q9H0M0,E3|P22681,E3,P22681,Q9H0M0,CBL,WWP1,RING,0,neg2x_initial_degree_matched,,CBL,WWP1,CBL|WWP1,True
E3|P22681|P11021,E3|P22681,E3,P22681,P11021,CBL,HSPA5,RING,0,neg2x_initial_degree_matched,,CBL,HSPA5,CBL|HSPA5,True
E3|P22681|P68133,E3|P22681,E3,P22681,P68133,CBL,ACTA1,RING,0,neg2x_initial_degree_matched,,CBL,ACTA1,ACTA1|CBL,True
E3|P22681|P51668,E3|P22681,E3,P22681,P51668,CBL,UBE2D1,RING,0,neg2x_initial_degree_matched,,CBL,UBE2D1,CBL|UBE2D1,True
E3|P29590|Q06609,E3|P29590,E3,P29590,Q06609,PML,RAD51,RING,0,neg2x_initial_degree_matched,,PML,RAD51,PML|RAD51,True
E3|P37231|Q9Y490,E3|P37231,E3,P37231,Q9Y490,PPARG,TLN1,RING,0,neg2x_initial_degree_matched,,PPARG,TLN1,PPARG|TLN1,True
E3|P38398|P26038,E3|P38398,E3,P38398,P26038,BRCA1,MSN,RING,0,neg2x_initial_degree_matched,,BRCA1,MSN,BRCA1|MSN,True
E3|P38398|Q9Y253,E3|P38398,E3,P38398,Q9Y253,BRCA1,POLH,RING,0,neg2x_initial_degree_matched,,BRCA1,POLH,BRCA1|POLH,True
E3|P38398|P35573,E3|P38398,E3,P38398,P35573,BRCA1,AGL,RING,0,neg2x_initial_degree_matched,,BRCA1,AGL,AGL|BRCA1,True
E3|P38398|P12956,E3|P38398,E3,P38398,P12956,BRCA1,XRCC6,RING,0,neg2x_initial_degree_matched,,BRCA1,XRCC6,BRCA1|XRCC6,True
E3|P38398|Q9BX63,E3|P38398,E3,P38398,Q9BX63,BRCA1,BRIP1,RING,0,neg2x_initial_degree_matched,,BRCA1,BRIP1,BRCA1|BRIP1,True
E3|P38398|P78527,E3|P38398,E3,P38398,P78527,BRCA1,PRKDC,RING,0,neg2x_initial_degree_matched,,BRCA1,PRKDC,BRCA1|PRKDC,True
E3|P38398|Q8WZ42,E3|P38398,E3,P38398,Q8WZ42,BRCA1,TTN,RING,0,neg2x_initial_degree_matched,,BRCA1,TTN,BRCA1|TTN,True
E3|P38398|Q14457,E3|P38398,E3,P38398,Q14457,BRCA1,BECN1,RING,0,neg2x_initial_degree_matched,,BRCA1,BECN1,BECN1|BRCA1,True
E3|P38398|P67870,E3|P38398,E3,P38398,P67870,BRCA1,CSNK2B,RING,0,neg2x_initial_degree_matched,,BRCA1,CSNK2B,BRCA1|CSNK2B,True
E3|P38398|O94761,E3|P38398,E3,P38398,O94761,BRCA1,RECQL4,RING,0,neg2x_initial_degree_matched,,BRCA1,RECQL4,BRCA1|RECQL4,True
E3|P40337|O60674,E3|P40337,E3,P40337,O60674,VHL,JAK2,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,VHL,JAK2,JAK2|VHL,True
E3|P40337|Q9H3M7,E3|P40337,E3,P40337,Q9H3M7,VHL,TXNIP,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,VHL,TXNIP,TXNIP|VHL,True
E3|P40337|P49918,E3|P40337,E3,P40337,P49918,VHL,CDKN1C,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,VHL,CDKN1C,CDKN1C|VHL,True
E3|P40337|P40763,E3|P40337,E3,P40337,P40763,VHL,STAT3,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,VHL,STAT3,STAT3|VHL,True
E3|P46934|Q8TCC7,E3|P46934,E3,P46934,Q8TCC7,NEDD4,SLC22A8,HECT,0,neg2x_initial_degree_matched,,NEDD4,SLC22A8,NEDD4|SLC22A8,True
E3|P46934|P55017,E3|P46934,E3,P46934,P55017,NEDD4,SLC12A3,HECT,0,neg2x_initial_degree_matched,,NEDD4,SLC12A3,NEDD4|SLC12A3,True
E3|P46934|P00519,E3|P46934,E3,P46934,P00519,NEDD4,ABL1,HECT,0,neg2x_initial_degree_matched,,NEDD4,ABL1,ABL1|NEDD4,True
E3|P46934|P27694,E3|P46934,E3,P46934,P27694,NEDD4,RPA1,HECT,0,neg2x_initial_degree_matched,,NEDD4,RPA1,NEDD4|RPA1,True
E3|P46934|Q13049,E3|P46934,E3,P46934,Q13049,NEDD4,TRIM32,HECT,0,neg2x_initial_degree_matched,,NEDD4,TRIM32,NEDD4|TRIM32,True
E3|P46934|O43541,E3|P46934,E3,P46934,O43541,NEDD4,SMAD6,HECT,0,neg2x_initial_degree_matched,,NEDD4,SMAD6,NEDD4|SMAD6,True
E3|P46934|O60315,E3|P46934,E3,P46934,O60315,NEDD4,ZEB2,HECT,0,neg2x_initial_degree_matched,,NEDD4,ZEB2,NEDD4|ZEB2,True
E3|P46934|Q99497,E3|P46934,E3,P46934,Q99497,NEDD4,PARK7,HECT,0,neg2x_initial_degree_matched,,NEDD4,PARK7,NEDD4|PARK7,True
E3|P46934|Q9NWM3,E3|P46934,E3,P46934,Q9NWM3,NEDD4,CUEDC1,HECT,0,neg2x_initial_degree_matched,,NEDD4,CUEDC1,CUEDC1|NEDD4,True
E3|P46934|Q9Y2J4,E3|P46934,E3,P46934,Q9Y2J4,NEDD4,AMOTL2,HECT,0,neg2x_initial_degree_matched,,NEDD4,AMOTL2,AMOTL2|NEDD4,True
E3|P46934|P37088,E3|P46934,E3,P46934,P37088,NEDD4,SCNN1A,HECT,0,neg2x_initial_degree_matched,,NEDD4,SCNN1A,NEDD4|SCNN1A,True
E3|P46934|P63000,E3|P46934,E3,P46934,P63000,NEDD4,RAC1,HECT,0,neg2x_initial_degree_matched,,NEDD4,RAC1,NEDD4|RAC1,True
E3|P46934|Q9H492,E3|P46934,E3,P46934,Q9H492,NEDD4,MAP1LC3A,HECT,0,neg2x_initial_degree_matched,,NEDD4,MAP1LC3A,MAP1LC3A|NEDD4,True
E3|P46934|P07437,E3|P46934,E3,P46934,P07437,NEDD4,TUBB,HECT,0,neg2x_initial_degree_matched,,NEDD4,TUBB,NEDD4|TUBB,True
E3|P46934|Q9P2Y5,E3|P46934,E3,P46934,Q9P2Y5,NEDD4,UVRAG,HECT,0,neg2x_initial_degree_matched,,NEDD4,UVRAG,NEDD4|UVRAG,True
E3|P46934|Q9NRM7,E3|P46934,E3,P46934,Q9NRM7,NEDD4,LATS2,HECT,0,neg2x_initial_degree_matched,,NEDD4,LATS2,LATS2|NEDD4,True
E3|P46934|P07947,E3|P46934,E3,P46934,P07947,NEDD4,YES1,HECT,0,neg2x_initial_degree_matched,,NEDD4,YES1,NEDD4|YES1,True
E3|P46934|Q00613,E3|P46934,E3,P46934,Q00613,NEDD4,HSF1,HECT,0,neg2x_initial_degree_matched,,NEDD4,HSF1,HSF1|NEDD4,True
E3|P49427|Q9NR28,E3|P49427,E3,P49427,Q9NR28,CDC34,DIABLO,Other,0,neg2x_initial_degree_matched,,CDC34,DIABLO,CDC34|DIABLO,True
E3|P53804|P27695,E3|P53804,E3,P53804,P27695,TTC3,APEX1,RING,0,neg2x_initial_degree_matched,,TTC3,APEX1,APEX1|TTC3,True
E3|P62877|O43318,E3|P62877,E3,P62877,O43318,RBX1,MAP3K7,RING,0,neg2x_initial_degree_matched,,RBX1,MAP3K7,MAP3K7|RBX1,True
E3|P62877|O60315,E3|P62877,E3,P62877,O60315,RBX1,ZEB2,RING,0,neg2x_initial_degree_matched,,RBX1,ZEB2,RBX1|ZEB2,True
E3|P78317|Q9NS91,E3|P78317,E3,P78317,Q9NS91,RNF4,RAD18,RING,0,neg2x_initial_degree_matched,,RNF4,RAD18,RAD18|RNF4,True
E3|P78317|Q96MM3,E3|P78317,E3,P78317,Q96MM3,RNF4,ZFP42,RING,0,neg2x_initial_degree_matched,,RNF4,ZFP42,RNF4|ZFP42,True
E3|P78317|P06748,E3|P78317,E3,P78317,P06748,RNF4,NPM1,RING,0,neg2x_initial_degree_matched,,RNF4,NPM1,NPM1|RNF4,True
E3|P98170|Q9Y4G8,E3|P98170,E3,P98170,Q9Y4G8,XIAP,RAPGEF2,RING,0,neg2x_initial_degree_matched,,XIAP,RAPGEF2,RAPGEF2|XIAP,True
E3|P98170|P63279,E3|P98170,E3,P98170,P63279,XIAP,UBE2I,RING,0,neg2x_initial_degree_matched,,XIAP,UBE2I,UBE2I|XIAP,True
E3|P98170|P49841,E3|P98170,E3,P98170,P49841,XIAP,GSK3B,RING,0,neg2x_initial_degree_matched,,XIAP,GSK3B,GSK3B|XIAP,True
E3|P98170|Q13049,E3|P98170,E3,P98170,Q13049,XIAP,TRIM32,RING,0,neg2x_initial_degree_matched,,XIAP,TRIM32,TRIM32|XIAP,True
E3|P98170|Q96K76,E3|P98170,E3,P98170,Q96K76,XIAP,USP47,RING,0,neg2x_initial_degree_matched,,XIAP,USP47,USP47|XIAP,True
E3|Q00987|Q9Y4E8,E3|Q00987,E3,Q00987,Q9Y4E8,MDM2,USP15,RING,0,neg2x_initial_degree_matched,,MDM2,USP15,MDM2|USP15,True
E3|Q00987|Q8N726,E3|Q00987,E3,Q00987,Q8N726,MDM2,CDKN2A,RING,0,neg2x_initial_degree_matched,,MDM2,CDKN2A,CDKN2A|MDM2,True
E3|Q00987|P49792,E3|Q00987,E3,Q00987,P49792,MDM2,RANBP2,RING,0,neg2x_initial_degree_matched,,MDM2,RANBP2,MDM2|RANBP2,True
E3|Q00987|Q9H6Z9,E3|Q00987,E3,Q00987,Q9H6Z9,MDM2,EGLN3,RING,0,neg2x_initial_degree_matched,,MDM2,EGLN3,EGLN3|MDM2,True
E3|Q00987|Q9NS23,E3|Q00987,E3,Q00987,Q9NS23,MDM2,RASSF1,RING,0,neg2x_initial_degree_matched,,MDM2,RASSF1,MDM2|RASSF1,True
E3|Q00987|P42229,E3|Q00987,E3,Q00987,P42229,MDM2,STAT5A,RING,0,neg2x_initial_degree_matched,,MDM2,STAT5A,MDM2|STAT5A,True
E3|Q00987|Q14139,E3|Q00987,E3,Q00987,Q14139,MDM2,UBE4A,RING,0,neg2x_initial_degree_matched,,MDM2,UBE4A,MDM2|UBE4A,True
E3|Q00987|P68036,E3|Q00987,E3,Q00987,P68036,MDM2,UBE2L3,RING,0,neg2x_initial_degree_matched,,MDM2,UBE2L3,MDM2|UBE2L3,True
E3|Q00987|Q9NZJ0,E3|Q00987,E3,Q00987,Q9NZJ0,MDM2,DTL,RING,0,neg2x_initial_degree_matched,,MDM2,DTL,DTL|MDM2,True
E3|Q00987|Q16666,E3|Q00987,E3,Q00987,Q16666,MDM2,IFI16,RING,0,neg2x_initial_degree_matched,,MDM2,IFI16,IFI16|MDM2,True
E3|Q00987|P12004,E3|Q00987,E3,Q00987,P12004,MDM2,PCNA,RING,0,neg2x_initial_degree_matched,,MDM2,PCNA,MDM2|PCNA,True
E3|Q00987|Q96RU7,E3|Q00987,E3,Q00987,Q96RU7,MDM2,TRIB3,RING,0,neg2x_initial_degree_matched,,MDM2,TRIB3,MDM2|TRIB3,True
E3|Q00987|P63279,E3|Q00987,E3,Q00987,P63279,MDM2,UBE2I,RING,0,neg2x_initial_degree_matched,,MDM2,UBE2I,MDM2|UBE2I,True
E3|Q00987|Q8WWW0,E3|Q00987,E3,Q00987,Q8WWW0,MDM2,RASSF5,RING,0,neg2x_initial_degree_matched,,MDM2,RASSF5,MDM2|RASSF5,True
E3|Q00987|P17861,E3|Q00987,E3,Q00987,P17861,MDM2,XBP1,RING,0,neg2x_initial_degree_matched,,MDM2,XBP1,MDM2|XBP1,True
E3|Q00987|O94875,E3|Q00987,E3,Q00987,O94875,MDM2,SORBS2,RING,0,neg2x_initial_degree_matched,,MDM2,SORBS2,MDM2|SORBS2,True
E3|Q00987|O60566,E3|Q00987,E3,Q00987,O60566,MDM2,BUB1B,RING,0,neg2x_initial_degree_matched,,MDM2,BUB1B,BUB1B|MDM2,True
E3|Q00987|P10636,E3|Q00987,E3,Q00987,P10636,MDM2,MAPT,RING,0,neg2x_initial_degree_matched,,MDM2,MAPT,MAPT|MDM2,True
E3|Q05086|P00441,E3|Q05086,E3,Q05086,P00441,UBE3A,SOD1,SINGLE_OTHER,0,neg2x_initial_degree_matched,,UBE3A,SOD1,SOD1|UBE3A,True
E3|Q05086|Q13485,E3|Q05086,E3,Q05086,Q13485,UBE3A,SMAD4,SINGLE_OTHER,0,neg2x_initial_degree_matched,,UBE3A,SMAD4,SMAD4|UBE3A,True
E3|Q05086|P06493,E3|Q05086,E3,Q05086,P06493,UBE3A,CDK1,SINGLE_OTHER,0,neg2x_initial_degree_matched,,UBE3A,CDK1,CDK1|UBE3A,True
E3|Q12834|O43683,E3|Q12834,E3,Q12834,O43683,CDC20,BUB1,CDC20,0,neg2x_initial_degree_matched,,CDC20,BUB1,BUB1|CDC20,True
E3|Q12834|Q9UKT4,E3|Q12834,E3,Q12834,Q9UKT4,CDC20,FBXO5,CDC20,0,neg2x_initial_degree_matched,,CDC20,FBXO5,CDC20|FBXO5,True
E3|Q12834|P62714,E3|Q12834,E3,Q12834,P62714,CDC20,PPP2CB,CDC20,0,neg2x_initial_degree_matched,,CDC20,PPP2CB,CDC20|PPP2CB,True
E3|Q12834|O95071,E3|Q12834,E3,Q12834,O95071,CDC20,UBR5,CDC20,0,neg2x_initial_degree_matched,,CDC20,UBR5,CDC20|UBR5,True
E3|Q12933|Q13191,E3|Q12933,E3,Q12933,Q13191,TRAF2,CBLB,RING,0,neg2x_initial_degree_matched,,TRAF2,CBLB,CBLB|TRAF2,True
E3|Q12933|Q96GG9,E3|Q12933,E3,Q12933,Q96GG9,TRAF2,DCUN1D1,RING,0,neg2x_initial_degree_matched,,TRAF2,DCUN1D1,DCUN1D1|TRAF2,True
E3|Q12933|Q9HCM4,E3|Q12933,E3,Q12933,Q9HCM4,TRAF2,EPB41L5,RING,0,neg2x_initial_degree_matched,,TRAF2,EPB41L5,EPB41L5|TRAF2,True
E3|Q13049|P13569,E3|Q13049,E3,Q13049,P13569,TRIM32,CFTR,RING,0,neg2x_initial_degree_matched,,TRIM32,CFTR,CFTR|TRIM32,True
E3|Q13263|P35250,E3|Q13263,E3,Q13263,P35250,TRIM28,RFC2,RING,0,neg2x_initial_degree_matched,,TRIM28,RFC2,RFC2|TRIM28,True
E3|Q13309|P15927,E3|Q13309,E3,Q13309,P15927,SKP2,RPA2,F-box,0,neg2x_initial_degree_matched,,SKP2,RPA2,RPA2|SKP2,True
E3|Q13309|P34932,E3|Q13309,E3,Q13309,P34932,SKP2,HSPA4,F-box,0,neg2x_initial_degree_matched,,SKP2,HSPA4,HSPA4|SKP2,True
E3|Q13309|P27694,E3|Q13309,E3,Q13309,P27694,SKP2,RPA1,F-box,0,neg2x_initial_degree_matched,,SKP2,RPA1,RPA1|SKP2,True
E3|Q13309|O15519,E3|Q13309,E3,Q13309,O15519,SKP2,CFLAR,F-box,0,neg2x_initial_degree_matched,,SKP2,CFLAR,CFLAR|SKP2,True
E3|Q13309|P30291,E3|Q13309,E3,Q13309,P30291,SKP2,WEE1,F-box,0,neg2x_initial_degree_matched,,SKP2,WEE1,SKP2|WEE1,True
E3|Q13489|Q6GPH4,E3|Q13489,E3,Q13489,Q6GPH4,BIRC3,XAF1,RING,0,neg2x_initial_degree_matched,,BIRC3,XAF1,BIRC3|XAF1,True
E3|Q13489|Q9Y5K5,E3|Q13489,E3,Q13489,Q9Y5K5,BIRC3,UCHL5,RING,0,neg2x_initial_degree_matched,,BIRC3,UCHL5,BIRC3|UCHL5,True
E3|Q13489|P68036,E3|Q13489,E3,Q13489,P68036,BIRC3,UBE2L3,RING,0,neg2x_initial_degree_matched,,BIRC3,UBE2L3,BIRC3|UBE2L3,True
E3|Q13489|P00367,E3|Q13489,E3,Q13489,P00367,BIRC3,GLUD1,RING,0,neg2x_initial_degree_matched,,BIRC3,GLUD1,BIRC3|GLUD1,True
E3|Q13489|P98170,E3|Q13489,E3,Q13489,P98170,BIRC3,XIAP,RING,0,neg2x_initial_degree_matched,,BIRC3,XIAP,BIRC3|XIAP,True
E3|Q13489|O76021,E3|Q13489,E3,Q13489,O76021,BIRC3,RSL1D1,RING,0,neg2x_initial_degree_matched,,BIRC3,RSL1D1,BIRC3|RSL1D1,True
E3|Q13489|Q15022,E3|Q13489,E3,Q13489,Q15022,BIRC3,SUZ12,RING,0,neg2x_initial_degree_matched,,BIRC3,SUZ12,BIRC3|SUZ12,True
